Unnamed: 0,Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Sheet Link
,Theories of Deep Learning,TDL,CSE516/ECE559,"MTH100,MTH203,CSE343/CSE543/ECE563orCSE342/CSE542",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRSD14TL9prtZt6NGdf0SPjo41cJFwmuvBxMc1JvrGk77Gv0mQjv1UQC57YEhJO9qNSrZKzI82bijuF/pubhtml?gid=44395192&amp;single=true&amp;widget=true&amp;headers=false
,Randomized Algorithms,RA,CSE523,"CSE222,CSE121,MTH201",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQRzLgQPxJ3sbPXhgRGn310vl0_UIoMAGbJmsNInOsZ-jm-T2On6hvvpAN_rIRQPiFzQuw12sEDkKIQ/pubhtml?gid=1939488330&amp;single=true&amp;widget=true&amp;headers=false
,Theory of Modern cryptography,TMC,CSE524,CSE121orMTH210,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vT25LtudEJbKgcOvZGAm8FWOI3tPqSPANqzro1yKeVj5gqFntuvmQPoa0DAv21Nug/pubhtml?widget=true&amp;headers=false
,Introduction to Graduate Algorithms,GA,CSE525,CSE222,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwuXElb47NU_FIZFqkrDNJzRILr3HscT6PLQMqoay9CV_wUYwI1cypGWWgKRoX2bVY_YJ5pG0lcQ3S/pubhtml?gid=59592576&amp;single=true&amp;widget=true&amp;headers=false
,Introduction to Blockchain and Cryptocurrency,IBC,CSE528,CSE546,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQWgKqJG2KFCXSJRxMoALG1J_et9YhYDnHgYaTtUWxMDXT-ldP-EMvghXLAGtU0ILngcOQfcued5lNp/pubhtml?gid=2033242478&amp;single=true&amp;widget=true&amp;headers=false
,Approximation Algorithms,AAG,CSE529,CSE222,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vT3W8vjMIIhV4b4jP8Le4r_W1iuWd73-CzjQJHrS39EuIW-_rVkZNKRjaIXXqjjqJlfZO8GX8P9fTLx/pubhtml?gid=1518379001&amp;single=true&amp;widget=true&amp;headers=false
,Distributed Systems: Concepts & Design,DSCD,CSE530,"CSE231;Studentsmusthavegoodprogrammingskillswithatleastoneofthefollowinglanguages:Java,Scala,Go,Python.",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vS4VoCtmYlhuPDZmlnWfZt-97ti6qdx8vJdlxX8jmDGArIit-fpCJL7E1-Nvt6G6A/pubhtml?widget=true&amp;headers=false
,Multi-Agent Systems,MAS,CSE531,,,Monsoon/Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQghGa3ivnZ_lszg6yybVx6gNO0VuPlGjAWkTtei45MrfXRBqvh-jwI9ubur99Pd4bKhfHjgZd53k26/pubhtml?gid=1119838527&amp;single=true&amp;widget=true&amp;headers=false
,Mobile Computing,MC,CSE535,CSE101,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRC8dXLYXkv6-s1EIJRrP2nQmvl9kweZWO3WirfDPu59rxPqfN-a_oPc0_sx_MgPqXXoJj604kzGHsp/pubhtml?widget=true&amp;headers=false
,Wireless Networks,WN,CSE538/ECE538,CSE232,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vT0oDDTBuRxnXMr--aPe3yD5-runUOMnG6CdTXx5KnCJNstVOWNe6W7z1qzNAYIFaFqhakkIeeNEEY5/pubhtml?gid=688842215&amp;single=true&amp;widget=true&amp;headers=false
